Country,Total_Confirmed,Total_confirmed_new,Total_deaths,Total_new_deaths,Transmission
South Africa,5951,304,116,13,Community transmission
Algeria,4154,148,453,3,Community transmission
Nigeria,2170,238,68,10,Community transmission
Ghana,2074,0,17,0,Clusters of cases
Cameroon,2069,237,61,0,Clusters of cases
Guinea,1537,42,7,0,Community transmission
Côte d’Ivoire,1275,0,14,0,Clusters of cases
Senegal,1024,91,9,0,Clusters of cases
Niger,728,9,33,1,Clusters of cases
Burkina Faso,649,4,44,1,Community transmission
"Democratic Republic of the
Congo",604,32,32,1,Clusters of cases
Mali,508,18,26,0,Clusters of cases
United Republic of Tanzania,480,0,17,0,Clusters of cases
Kenya,411,15,21,4,Clusters of cases
Mauritius,332,0,10,0,Community transmission
Equatorial Guinea,315,0,2,0,Clusters of cases
Gabon,308,32,4,1,Clusters of cases
Guinea-Bissau,257,56,1,0,Sporadic cases
Rwanda,249,6,0,0,Clusters of cases
Congo,229,9,10,1,Clusters of cases
Liberia,152,11,18,2,Clusters of cases
Sierra Leone,136,12,8,1,Clusters of cases
Madagascar,135,3,0,0,Clusters of cases
Ethiopia,133,2,3,0,Clusters of cases
Togo,123,7,9,0,Clusters of cases
Cabo Verde,121,0,1,0,Sporadic cases
Zambia,109,3,3,0,Sporadic cases
Eswatini,106,6,1,0,Sporadic cases
Benin,90,6,2,0,Sporadic cases
Uganda,83,2,0,0,Sporadic cases
Mozambique,79,3,0,0,Sporadic cases
Chad,73,0,5,2,Sporadic cases
Central African Republic,64,0,0,0,Sporadic cases
South Sudan,45,10,0,0,Sporadic cases
Eritrea,39,0,0,0,Sporadic cases
Malawi,37,0,3,0,Sporadic cases
Zimbabwe,34,2,4,0,Sporadic cases
Angola,29,2,2,0,Sporadic cases
Botswana,23,0,1,0,Sporadic cases
Namibia,16,0,0,0,Sporadic cases
São Tomé and Príncipe,16,0,1,0,Sporadic cases
Burundi,15,0,1,0,Sporadic cases
Gambia,12,0,1,0,Sporadic cases
Seychelles,11,0,0,0,Sporadic cases
Mauritania,8,0,1,0,Sporadic cases
Comoros,1,0,0,0,Pending
Territoriesii,,,,,
Mayotte,539,0,4,0,Clusters of cases
Réunion,420,0,0,0,Clusters of cases
Americas,,,,,
United States of America,1067127,31774,57406,2069,Community transmission
Brazil,85380,7218,5901,435,Community transmission
Canada,53657,1601,3223,141,Community transmission
Peru,36976,3045,1051,108,Community transmission
Ecuador,26336,1402,1063,163,Community transmission
Mexico,19224,1425,1859,127,Community transmission
Chile,17008,985,234,7,Community transmission
Dominican Republic,7288,316,313,12,Community transmission
Panama,6532,154,188,10,Community transmission
Colombia,6507,296,293,15,Community transmission
Argentina,4476,172,220,5,Community transmission
Cuba,1537,36,64,3,Clusters of cases
Bolivia (Plurinational State of),1167,57,62,3,Clusters of cases
Honduras,804,33,75,4,Clusters of cases
Costa Rica,719,6,6,0,Clusters of cases
Uruguay,643,13,17,2,Clusters of cases
Guatemala,599,14,16,0,Clusters of cases
El Salvador,424,29,10,1,Clusters of cases
Jamaica,422,26,8,1,Clusters of cases
"Venezuela (Bolivarian Republic
of)",333,2,10,0,Clusters of cases
Paraguay,266,17,10,1,Community transmission
Trinidad and Tobago,116,0,8,0,Sporadic cases
Guyana,82,4,9,1,Clusters of cases
Bahamas,81,1,11,0,Clusters of cases
Barbados,81,1,7,0,Clusters of cases
Haiti,81,5,8,1,Clusters of cases
Antigua and Barbuda,24,0,3,0,Clusters of cases
Grenada,20,0,0,0,Clusters of cases
Belize,18,0,2,0,Sporadic cases
Saint Lucia,17,0,0,0,Sporadic cases
Dominica,16,0,0,0,Clusters of cases
